web-scraper-order,web-scraper-start-url,categories,categories-href,subcat,subcat-href,products,products-href,name_product,price_euro,unit,Attributes,ingridients,cat_name,sub_cat_name,price_cent,weight,kcal
"1675700985-402","https://www.ah.nl/producten","","https://www.ah.nl/producten/koken-tafelen-vrije-tijd","Wonen, slapen","https://www.ah.nl/producten/koken-tafelen-vrije-tijd/wonen-slapen","8.19per stuk","https://www.ah.nl/producten/product/wi470072/philips-led-fil-kogel-mat-e27-40w","Philips Led fil kogel mat E27 40W","8","per stuk","","Voor gebruik binnen","Koken, tafelen, vrije tijd","Wonen, slapen","19","1 Stuks (piece)","null"
"1675700987-403","https://www.ah.nl/producten","","https://www.ah.nl/producten/koken-tafelen-vrije-tijd","Wonen, slapen","https://www.ah.nl/producten/koken-tafelen-vrije-tijd/wonen-slapen","8.39per stuk","https://www.ah.nl/producten/product/wi469620/philips-led-fil-kaars-helder-e14-40w","Philips Led fil kaars helder E14 40W","8","per stuk","","Voor gebruik binnen","Koken, tafelen, vrije tijd","Wonen, slapen","39","1 Stuks (piece)","null"
"1675700989-404","https://www.ah.nl/producten","","https://www.ah.nl/producten/koken-tafelen-vrije-tijd","Wonen, slapen","https://www.ah.nl/producten/koken-tafelen-vrije-tijd/wonen-slapen","6.89per stuk","https://www.ah.nl/producten/product/wi486098/philips-led-spot-gu10-35w","Philips Led spot GU10 35W","6","per stuk","","Voor gebruik binnen","Koken, tafelen, vrije tijd","Wonen, slapen","89","1 Stuks (piece)","null"
"1675700991-405","https://www.ah.nl/producten","","https://www.ah.nl/producten/koken-tafelen-vrije-tijd","Wonen, slapen","https://www.ah.nl/producten/koken-tafelen-vrije-tijd/wonen-slapen","8.19per stuk","https://www.ah.nl/producten/product/wi470064/philips-led-lamp-mat-40watt","Philips Led lamp mat 40watt","8","per stuk","","Voor gebruik binnen","Koken, tafelen, vrije tijd","Wonen, slapen","19","1 Stuks (piece)","null"
"1675700993-406","https://www.ah.nl/producten","","https://www.ah.nl/producten/koken-tafelen-vrije-tijd","Wonen, slapen","https://www.ah.nl/producten/koken-tafelen-vrije-tijd/wonen-slapen","3.89per stuk","https://www.ah.nl/producten/product/wi484831/bolsius-rustieke-kaars-okergeel-13cm","Bolsius Rustieke kaars okergeel 13cm","3","per stuk","","null","Koken, tafelen, vrije tijd","Wonen, slapen","89","1 Stuks (piece)","null"
"1675700996-407","https://www.ah.nl/producten","","https://www.ah.nl/producten/koken-tafelen-vrije-tijd","Wonen, slapen","https://www.ah.nl/producten/koken-tafelen-vrije-tijd/wonen-slapen","2.79per stuk","https://www.ah.nl/producten/product/wi484751/bolsius-rustieke-kaars-wit-8cm","Bolsius Rustieke kaars wit 8cm","2","per stuk","","null","Koken, tafelen, vrije tijd","Wonen, slapen","79","1 Stuks (piece)","null"
"1675700998-408","https://www.ah.nl/producten","","https://www.ah.nl/producten/koken-tafelen-vrije-tijd","Wonen, slapen","https://www.ah.nl/producten/koken-tafelen-vrije-tijd/wonen-slapen","2.9918 stuks","https://www.ah.nl/producten/product/wi466243/bolsius-true-scents-geurtheelichten-granaatappel","Bolsius True scents geurtheelichten granaatappel","2","18 stuks","","Buiten het bereik van kinderen houden","Koken, tafelen, vrije tijd","Wonen, slapen","99","18 Stuks (piece)","null"
"1675701001-409","https://www.ah.nl/producten","","https://www.ah.nl/producten/koken-tafelen-vrije-tijd","Wonen, slapen","https://www.ah.nl/producten/koken-tafelen-vrije-tijd/wonen-slapen","6.99per stuk","https://www.ah.nl/producten/product/wi516899/bolsius-geurstokjes-fresh-cotton","Bolsius Geurstokjes fresh cotton","6","per stuk","Schadelijk (irritatie, bij inademen)","Veroorzaakt ernstige oogirritatie.","Koken, tafelen, vrije tijd","Wonen, slapen","99","45 Milliliter","null"
"1675701003-410","https://www.ah.nl/producten","","https://www.ah.nl/producten/koken-tafelen-vrije-tijd","Wonen, slapen","https://www.ah.nl/producten/koken-tafelen-vrije-tijd/wonen-slapen","4.49per stuk","https://www.ah.nl/producten/product/wi484749/bolsius-rustieke-kaars-shimmer-goud-19cm","Bolsius Rustieke kaars shimmer goud 19cm","4","per stuk","","null","Koken, tafelen, vrije tijd","Wonen, slapen","49","1 Stuks (piece)","null"
"1675701005-411","https://www.ah.nl/producten","","https://www.ah.nl/producten/koken-tafelen-vrije-tijd","Wonen, slapen","https://www.ah.nl/producten/koken-tafelen-vrije-tijd/wonen-slapen","5.4924 stuks","https://www.ah.nl/producten/product/wi506368/bolsius-waxinelichtjes-clear-cup-6-branduren","Bolsius Waxinelichtjes clear cup 6 branduren","5","24 stuks","","null","Koken, tafelen, vrije tijd","Wonen, slapen","49","24 Stuks (piece)","null"
"1675701007-412","https://www.ah.nl/producten","","https://www.ah.nl/producten/koken-tafelen-vrije-tijd","Wonen, slapen","https://www.ah.nl/producten/koken-tafelen-vrije-tijd/wonen-slapen","6.9912 stuks","https://www.ah.nl/producten/product/wi396246/gouda-maxi-lichten-helder-kaarslicht-10-uur","Gouda Maxi lichten helder kaarslicht 10 uur","6","12 stuks","","null","Koken, tafelen, vrije tijd","Wonen, slapen","99","12 Stuks (piece)","null"
